FA0033765,4,90.25,90,0.433,90,91
FA0248001,5,90045,90045,0,90045,90045
FA0273276,2,94,92,2,92,96
FA0072860,2,88.5,85,3.5,85,92
FA0007934,3,92.3333,94,1.6997,90,94
FA0265584,1,90,90,0,90,90
FA0255776,6,89.5,85,4.7522,85,96
FA0165837,7,91,91,1.069,90,93
FA0166263,6,81.8333,81,6.0116,70,88
FA0011935,3,92.6667,94,0.9428,92,94
FA0224048,2,90045,90045,0,90045,90045
FA0045530,1,91,91,0,91,91
FA0239997,1,96,96,0,96,96
FA0013911,2,92.5,90,2.5,90,95
FA0178305,3,87.3333,92,4.1096,82,92
FA0265441,1,90011,90011,0,90011,90011
FA0143609,1,91,91,0,91,91
FA0072726,2,96.5,96,0.5,96,97
FA0048317,3,97.3333,98,0.9428,96,98
FA0015412,3,90.6667,92,0.9428,90,92
FA0028947,6,93,92,1.9149,90,96
FA0243637,4,91,91,0,91,91
FA0203001,9,86.8889,90,7.8944,70,94
FA0026654,3,89.3333,96,5.7349,82,96
FA0053010,6,87,83,4.7958,81,93
FA0031545,2,90027,90027,0,90027,90027
FA0059820,1,90011,90011,0,90011,90011
FA0038865,3,90071,90071,0,90071,90071
FA0042497,6,90.1667,90,3.6705,83,94
FA0062101,8,81,81,0.866,80,82
FA0047330,4,93.5,94,0.866,92,94
FA0180688,4,90,90,0,90,90
FA0012765,6,90058,90058,0,90058,90058
FA0061628,3,93,96,2.4495,90,96
FA0239194,4,90.5,91,0.5,90,91
FA0163108,3,90025,90025,0,90025,90025
FA0021690,4,90025,90025,0,90025,90025
FA0239960,5,90,90,0,90,90
FA0067046,9,88.6667,91,4.1366,81,92
FA0032046,1,94,94,0,94,94
FA0151350,3,93.6667,95,0.9428,93,95
FA0255272,2,97.5,97,0.5,97,98
FA0258130,3,90089,90089,0,90089,90089
FA0138440,6,90025,90025,0,90025,90025
FA0062804,8,90.125,90,0.3307,90,91
FA0009434,2,90022,90022,0,90022,90022
FA0023791,7,90042,90042,0,90042,90042
FA0226133,2,91.5,91,0.5,91,92
FA0027739,4,90015,90015,0,90015,90015
FA0244123,4,93.5,94,2.1794,90,96
FA0061024,6,90003,90003,0,90003,90003
FA0012301,1,90,90,0,90,90
