FACILITY_ZIP,Count,Average,Median,Stdev,Min,Max
90712,135,92.1704,93,3.433,80,98
90039,175,92.7314,93,2.8629,81,99
90010,249,91.1004,92,4.9708,74,99
90640,357,90.9244,92,4.9764,70,99
91724,59,92.2203,92,2.8705,84,98
91350,114,92.807,93,4.542,70,99
90040,13,90.3846,91,3.3175,84,95
91207,16,93.0625,93,1.56,90,96
91405,198,92.1515,92,3.4593,76,98
90032,108,90.5,91,3.855,80,97
90029,359,92.1755,93,3.8891,72,98
90033,225,91.1644,92,4.6557,70,98
90001,323,89.6068,91,5.3523,71,98
91201,165,92.7818,93,2.1407,84,99
90063,137,90.0511,92,6.219,70,98
91767,103,92.301,93,4.5833,75,99
91401,146,92.9247,94,4.2331,74,99
90304,162,89.0864,90,5.2392,70,98
91325,152,92.0526,93,4.0177,74,99
90002,46,92.2174,93,4.201,81,98
91024,42,91.7381,92,3.6191,82,98
90248,212,90.0943,91,4.9345,73,98
90048,378,90.6243,91,3.7192,73,98
91361,18,93.8889,94,2.3067,90,98
90292,291,90.8832,92,4.7912,73,99
90013,315,92.8667,94,4.0795,74,99
90502,82,88.9024,90,5.4853,73,97
90293,68,92.5441,93,3.0747,81,99
90021,133,90.0301,91,5.0112,71,99
90018,149,90.745,92,4.5556,78,97
91387,43,91.9302,93,5.0642,78,98
91770,180,89.6444,91,5.3589,74,98
90056,14,89.5714,91,5.3814,80,96
90717,320,89.1344,90,4.3765,70,98
90016,157,92.172,93,4.571,80,99
91344,216,92.8333,94,3.8502,75,99
91384,53,89.3774,91,6.1283,74,98
91792,107,91.2336,92,3.6213,80,98
91707,6,90.8333,92,5.0799,80,96
90605,62,92.9194,93,2.1872,87,98
90404,114,91.5351,92,4.0332,80,98
91745,135,90.2,91,4.5261,72,98
91354,30,90,91,4.7046,80,95
90067,141,91.5603,92,3.5836,76,99
91711,201,93.01,93,3.2369,81,99
90745,187,88.3155,91,6.6092,70,99
90403,160,91.1688,91,3.9988,75,99
90068,71,93.1127,93,2.6513,80,98
90810,46,85.8696,85,6.2367,70,97
91768,123,91.7073,92,4.2094,77,97
91607,68,94.0882,94,2.2343,90,98
91345,49,92.9796,93,2.9863,86,98
91010,86,92.5233,93,3.6208,80,99
91775,23,91.1739,92,4.0179,81,98
91210,38,91.5,92,4.717,72,98
91701,3,87,93,7.1181,77,93
91746,102,90.7059,91,4.2022,77,98
