FACILITY_CITY,Count,Average,Median,Stdev,Min,Max
CUDAHY,171,94.117,94,3.0239,78,100
RANCHO PALOS VERDES,334,91.4671,92,4.2942,70,99
TERMINAL ISLAND,7,89.4286,90,5.2333,78,97
ROLLING HILLS ESTATES,201,91.5373,91,3.631,80,99
SUN VALLEY,453,93.3444,94,3.2997,70,100
ARLETA,129,93.7597,94,2.8875,83,100
PORTER RANCH,194,95.7268,97,3.8319,70,100
WEST HILLS,388,94.7526,96,3.5436,70,100
ACTON,117,94.5214,94,3.2754,81,99
AGUA DULCE,22,94.6818,95,2.5829,90,99
SEPULVEDA,11,93.1818,93,2.289,90,97
SIERRA MADRE,154,94.0909,94,3.4062,82,99
QUARTZ HILL,35,93.1143,94,4.4193,72,98
DUARTE,277,94.6137,95,3.4082,80,100
PALOS VERDES ESTATES,60,92.7333,93,3.0159,80,99
RANCHO DOMINGUEZ,37,89.5676,90,6.0069,70,98
HOLLYWOOD,71,95.0845,96,3.1656,85,100
SAUGUS,48,93.5833,95,5.4994,70,99
PLAYA VISTA,71,92.4789,93,3.6342,82,99
LEONA VALLEY,6,92,90,2.6458,90,97
WESTWOOD,3,89.3333,93,3.8586,84,93
LEBEC,10,93.7,92,2.9343,90,99
TOPANGA,39,93.4359,95,4.0433,81,99
PEARBLOSSOM,14,97.5,98,1.4516,94,99
EAGLE ROCK,19,94.0526,95,2.0641,90,98
WESTCHESTER,18,93.8333,94,1.8333,90,97
AGOURA,13,98.3077,99,1.9762,94,100
EL SERENO,7,96.7143,98,1.9795,94,99
LINCOLN HEIGHTS,6,95.1667,94,2.6087,92,98
GORMAN,19,91.4211,94,6.029,73,98
CENTURY CITY,10,94,96,2.569,90,96
LAKE BALBOA,15,95.1333,96,2.0934,92,99
LAKE HUGHES,8,93.125,93,2.315,90,97
EAST LOS ANGELES,13,95.3846,97,2.7327,90,98
VALLEY GLEN,11,95.4545,96,2.4996,90,99
LLANO,7,96.4286,99,2.9692,92,99
ROLLING HILLS,6,94.8333,96,2.1922,90,96
GREEN VALLEY,4,95,97,3.3912,90,99
LENNOX,10,91,90,4.3589,80,97
LAKE VIEW TERRACE,11,93.7273,95,5.0107,84,100
SHADOW HILLS,7,92.8571,95,2.5873,90,97
LAKE LOS ANGELES,2,94.5,90,4.5,90,99
LONG BEACH,3,97,98,0.8165,96,98
WEST LOS ANGELES,5,90,91,3.6878,83,93
VALYERMO,2,97.5,96,1.5,96,99
PALOS VERDES PENINSULA,2,86.5,83,3.5,83,90
CITY TERRACE,1,96,96,0,96,96
CHATSOWRTH,2,91.5,91,0.5,91,92
ROLLING HILL ESTATES,1,98,98,0,98,98
RANCHOS PALOS VERDES,1,94,94,0,94,94
