8,96.5,96,1.3229,95,99,
8,93.25,94,2.3848,90,98,
13,94.8462,96,2.5373,90,99,
8,91.375,90,2.1176,90,95,
6,94.3333,94,2.6874,91,98,
5,91.6,92,1.0198,90,93,
8,94.875,97,3.8222,87,98,
7,90.5714,91,2.8714,84,94,
7,95.4286,97,2.499,90,98,
85,95.4353,96,3.4315,72,100,
6,91,92,4.3205,82,96,
4,91.75,93,1.299,90,93,
8,95.5,96,2,92,98,
6,91.6667,93,4.3843,82,95,
5,87.2,90,3.4293,83,90,
6,94.8333,95,1.7717,92,97,
7,92.4286,93,1.2936,90,94,
6,93.3333,93,1.972,90,96,
5,91.6,90,2.3324,90,96,
8,91.375,91,1.111,90,93,
8,96.375,96,0.857,95,98,
7,93.1429,94,1.4569,91,95,
40,98.575,99,1.7304,92,100,
6,96,96,3,90,99,
6,91.3333,90,1.3744,90,93,
8,95.75,97,2.6339,90,99,
3,90.6667,98,7.7172,80,98,
6,94.6667,94,1.1055,93,96,
8,94.125,94,2.5218,91,98,
42,98.7143,99,1.2206,95,100,
7,95.5714,96,2.0603,91,98,
5,88.4,90,4.9234,80,95,
5,91,93,4.0497,83,94,
7,89.4286,91,3.959,83,94,
7,95.8571,97,2.5314,90,98,
7,91.7143,93,4.5893,81,96,
6,93,93,2.3094,90,96,
7,94.4286,95,2.3212,91,98,
4,93.25,94,1.9203,90,95,
9,90.5556,93,4.833,80,96,
7,94.1429,96,2.7994,90,97,
7,92.7143,93,1.2778,90,94,
6,94.5,95,1.8028,91,97,
15,95.3333,95,1.5348,93,99,
8,91.625,92,3.0388,85,96,
7,96,96,0.9258,94,97,
3,94.6667,96,1.2472,93,96,
7,94,94,1.5119,92,97,
8,91.5,91,1.8028,90,95,
7,91.1429,93,3.6422,83,95,
4,94.75,95,1.479,93,97,
6,92,90,2.5166,90,97,
5,96.4,98,3.2619,90,99,
7,95.1429,97,3.3135,90,98,
6,82,80,5.3229,76,93,
13,92.7692,93,1.5269,90,96,
7,93.1429,94,1.4569,91,95,
9,89.2222,90,6.3382,72,95,
7,92.8571,94,2.2946,90,96,
5,96.2,96,0.9798,95,98,
5,91.8,92,1.1662,90,93,
3,90,90,0,90,90,
6,93.3333,93,1.2472,91,95,
8,91.625,95,5.4758,82,97,
5,96.4,97,1.8547,93,98,
8,91.125,91,1.2686,90,93,
6,90.8333,92,3.1842,84,94,
7,96.5714,97,1.7613,93,99,
7,98,99,1.1952,96,99,
7,96.1429,97,2.1665,93,100,
3,90.3333,98,7.0396,81,98,
5,89,90,4.7329,80,94,
9,95,95,1.8856,92,97,
8,95.5,96,1.6583,93,98,
5,92,92,1.0954,90,93,
5,98.2,98,0.7483,97,99,
7,94.1429,96,2.8997,90,98,
4,91.25,92,1.299,90,93,
6,95.6667,96,1.6997,93,98,
17,94.3529,94,1.9686,92,98,
7,97.2857,98,1.1606,95,98,
8,89.875,92,4.7811,82,95,
6,94.3333,94,2.2852,91,97,
7,93,94,1.8516,90,96,
8,95.75,96,1.3919,94,98,
