FACILITY_ZIP,Count,Average,Median,Stdev,Min,Max
93543,77,96.2468,97,2.0268,90,99
91345,237,94.4768,95,2.7306,78,100
90067,557,92.8043,93,3.1514,76,100
90008,273,94.033,95,4.0783,73,100
91608,372,96.1398,97,2.775,80,100
90713,313,92.0415,92,4.047,77,100
90057,641,93.1342,94,4.3254,71,100
91381,243,95.5144,97,3.7365,72,100
91210,299,93.9699,95,3.3155,72,100
90275,336,91.4226,92,4.2454,70,99
91791,437,93.2769,94,3.6605,77,100
90274,271,91.9594,92,3.6349,80,99
90305,159,95.6918,97,4.0947,70,100
91724,189,94.0529,94,3.1316,84,100
90605,424,95.184,95,2.7514,80,100
91352,448,93.3371,94,3.3106,70,100
93551,825,94.1697,95,3.9824,70,100
91307,334,95.1437,96,2.9135,81,100
90061,186,92.5806,94,4.7322,73,100
90043,248,92.2016,92,3.5684,74,98
91775,106,94.2358,95,2.9891,81,99
91390,47,94.7872,95,2.6891,90,99
90002,126,94.2143,95,3.7683,81,100
90253,6,88.8333,89,3.6248,82,93
91354,91,95.033,96,4.3914,80,100
91024,146,94.1918,94,3.3948,82,99
91690,3,91.3333,97,6.65,82,97
91522,22,96.9091,97,1.5641,93,100
93510,109,94.6972,94,3.2496,81,99
91867,15,95.5333,97,2.1868,91,98
90806,8,94,95,2.5495,90,97
90094,133,93.7293,94,3.4492,82,99
91600,5,95.8,97,1.9391,93,98
91010,277,94.6137,95,3.4082,80,100
90079,16,93.8125,95,3.5039,84,98
90810,66,89.4545,90,5.7371,70,98
91521,28,96.3929,97,1.915,92,100
90424,10,98.3,98,1.8466,94,100
91023,8,90.625,91,1.5762,87,92
91109,21,99.2381,100,0.9209,98,100
90646,7,95,95,2.2039,92,99
90801,25,90.76,91,3.5359,80,95
93243,29,92.2069,93,5.2875,73,99
90123,6,97.1667,97,0.3727,97,98
90509,7,89.7143,92,3.2388,86,95
90296,6,92.6667,92,2.4944,90,96
90290,39,93.4359,95,4.0433,81,99
91209,16,92.1875,92,1.0136,90,94
93553,14,97.5,98,1.4516,94,99
90077,127,93.7795,94,2.8997,84,99
91762,6,96.3333,96,1.6997,93,98
91430,11,97,98,2.4121,90,99
90620,8,95,97,2.7839,90,98
90095,27,97.2222,98,1.3147,94,99
92821,7,96,97,1.4142,94,98
90651,18,92.6667,92,2.6034,90,98
91701,16,91.875,91,4.9734,77,99
91314,5,96.2,96,0.7483,95,97
91772,3,94.3333,96,2.357,91,96
92688,5,95.6,97,3.2619,90,99
90805,17,95.7059,96,4.0112,84,100
91122,5,92.4,92,1.4967,90,94
90286,7,95,96,2.2039,90,97
91707,17,93.5882,93,4.4067,80,100
91176,5,91.4,91,1.3565,90,93
90756,4,96.25,97,0.8292,95,97
90056,49,92.6939,93,3.4829,80,98
91004,5,95.6,97,3.0067,90,98
91330,109,96.9817,97,1.9768,91,100
90609,7,94.2857,95,2.3733,90,97
90252,7,90.7143,94,3.9175,84,95
91501,68,95.3824,95,3.6863,80,100
91383,7,93,94,1.5119,91,95
92614,7,94.7143,95,1.2778,93,97
93532,8,93.125,93,2.315,90,97
90802,7,95.2857,98,3.6533,88,99
91751,5,93.8,94,1.1662,92,95
90030,7,93.7143,95,2.7105,90,97
90813,4,91,90,1.7321,90,94
91715,5,97.4,97,1.0198,96,99
90747,33,91.697,92,3.597,81,97
91761,4,97,97,1.4142,95,99
91752,4,92.25,92,1.6394,91,95
91510,6,96.1667,96,0.6872,95,97
93591,53,95.3585,96,2.9015,90,99
91029,8,92.25,93,3.0721,86,97
91341,4,94.5,95,2.2913,92,98
93544,7,96.4286,99,2.9692,92,99
92602,9,92,95,5.8878,80,97
90086,7,93.7143,95,2.1853,90,96
91371,19,93.2105,93,2.4619,90,97
93105,8,95.375,96,2.2326,90,98
90233,5,92,92,3.5214,86,96
91793,6,97.3333,97,1.5986,95,100
91771,2,96.5,95,1.5,95,98
90070,4,91.75,92,0.8292,91,93
93036,6,94.5,94,1.893,91,97
90103,7,90.1429,90,0.3499,90,91
91503,7,94.1429,95,1.8844,91,97
91769,8,96.625,97,1.111,95,98
90637,5,94.6,95,1.8547,92,97
90214,4,93.5,95,2.2913,90,96
90368,5,92.6,93,1.8547,90,95
90510,5,85.2,88,4.8744,78,91
90702,5,95,96,2.1909,92,98
90636,2,95.5,95,0.5,95,96
91735,5,95.4,96,0.8,94,96
90353,3,96.6667,99,2.6247,93,99
90808,3,97,98,0.8165,96,98
91328,4,97.5,98,1.118,96,99
91329,5,94.2,96,4.2143,87,98
91347,3,94,96,2.1602,91,96
91640,3,93,94,0.8165,92,94
91710,2,91,90,1,90,92
90653,2,92.5,90,2.5,90,95
90708,2,92.5,92,0.5,92,93
91709,1,90,90,0,90,90
91680,2,94,91,3,91,97
91778,2,97.5,97,0.5,97,98
91749,1,78,78,0,78,78
90052,1,90,90,0,90,90
91564,2,97,96,1,96,98
90524,1,94,94,0,94,94
91333,2,93.5,92,1.5,92,95
90229,2,96.5,95,1.5,95,98
90204,2,95,94,1,94,96
91416,2,95.5,95,0.5,95,96
90639,1,90,90,0,90,90
2337,2,91.5,90,1.5,90,93
91450,2,93.5,91,2.5,91,96
60241,1,97,97,0,97,97
91365,2,91.5,90,1.5,90,93
91743,1,81,81,0,81,81
90131,1,94,94,0,94,94
91106,1,97,97,0,97,97
