,GEONAME,Pop_Tot,Prop_18y,Prop_64y,Prop_65y+,Prop_Blk,Prop_Lat,Prop_Whi,Prop_Asi,Prop_Ami,Prop_NHO,Prop_FPL1,Prop_FPL2,Prop_forb,Prop_Eng,Prop_edLH,Prop_edHG,Prop_edSC,Prop_edCG,MHI,Prop_groc,Prop_60mi,No_farm,Prop_obse,Prop_DM,Rte_CVD,Prop_ownr,Prop_rentr,No_hless,Rte_crim,Rte_alco,Propt_envi,Prop_depr,Propt_HPI,Prop_fru,Prop_bev,Prop_hyp,Prop_marj
28,HUNTINGTON PARK,59509,0.2832,0.6317,0.0852,0.004,0.9713,0.0182,0.0058,0.0005,0.0002,0.2732,0.7259,0.4896,0.3153,0.5865,0.1939,0.162,0.0576,34887,0.8284,0.122,1,0.2987,0.0924,198.15200000000002,0.24,0.76,83,778,16,52,0.0855,4.8,0.1,0.6,0.2,0.1
29,INGLEWOOD,116361,0.2464,0.639,0.1146,0.4279,0.5273,0.0272,0.0123,0.0019,0.0034,0.2066,0.3893,0.2782,0.1121,0.2747,0.2058,0.3375,0.182,42044,0.6384,0.114,1,0.3211,0.1239,260.547,0.35100000000000003,0.649,502,713,13,74,0.0746,27.2,0.2,0.5,0.3,0.2
30,LA MIRADA,49465,0.1869,0.6485,0.1646,0.021,0.4062,0.3773,0.1902,0.0027,0.0025,0.0555,0.1708,0.2458,0.0893,0.1125,0.2335,0.3562,0.2978,79330,0.4794,0.087,0,0.4034,0.0922,192.967,0.774,0.226,33,172,11,79,0.0764,65.0,0.1,0.2,0.3,0.1
31,LA PUENTE,40377,0.2548,0.6347,0.1105,0.0117,0.8491,0.0473,0.08900000000000001,0.0021,0.0008,0.1289,0.3765,0.4093,0.1638,0.3954,0.2954,0.2171,0.0921,56512,0.48100000000000004,0.124,0,0.3235,0.1197,174.94,0.574,0.426,49,324,14,11,0.0592,28.6,0.1,0.4,0.2,0.1
32,LA VERNE,33139,0.1747,0.6301,0.1952,0.0311,0.3266,0.5582,0.0791,0.0032,0.0019,0.0712,0.1383,0.1608,0.0472,0.08900000000000001,0.1657,0.3786,0.3667,74631,0.3634,0.14,1,0.4459,0.0713,204.16299999999998,0.7240000000000001,0.276,6,124,18,7,0.1003,67.8,0.2,0.4,0.4,0.1
33,LAKEWOOD,78191,0.2161,0.6454,0.1385,0.0925,0.3115,0.4036,0.1802,0.0029,0.0093,0.0743,0.1572,0.213,0.0467,0.1213,0.226,0.3751,0.2776,79193,0.7096,0.09699999999999999,1,0.3030,0.0985,227.493,0.7020000000000001,0.298,49,285,15,89,0.0625,65.7,0.1,0.4,0.3,0.1
34,LANCASTER,156606,0.2697,0.6326,0.0977,0.2191,0.3872,0.3437,0.0439,0.0042,0.0019,0.213,0.3965,0.1328,0.0549,0.18600000000000003,0.294,0.3694,0.1506,47225,0.3111,0.2,1,0.2909,0.1321,294.17,0.562,0.43799999999999994,1055,704,11,87,0.1271,19.5,0.2,0.3,0.3,0.2
35,LAWNDALE,33381,0.2474,0.6579,0.0946,0.105,0.6036,0.1716,0.1053,0.0028,0.0117,0.165,0.3355,0.3763,0.1510,0.2996,0.2482,0.2957,0.1565,47540,0.945,0.078,1,0.2480,0.0980,198.231,0.325,0.675,43,581,14,78,0.0691,31.4,0.2,0.3,0.2,0.2
36,LONG BEACH,483509,0.2345,0.6538,0.1118,0.1385,0.423,0.2873,0.1368,0.0029,0.0115,0.1959,0.4047,0.2597,0.0812,0.2063,0.1868,0.3149,0.292,52783,0.7327,0.122,8,0.2422,0.1167,253.293,0.402,0.598,1863,589,18,66,0.0884,32.8,0.1,0.4,0.3,0.1
37,LOS ANGELES COUNCIL DISTRICT  1,274628,0.2332,0.654,0.1128,0.0276,0.706,0.0829,0.18100000000000002,0.0017,0.0008,0.2981,0.6119,0.5229,0.3497,0.4296,0.2035,0.1746,0.1923,34896,0.8857,0.139,2,0.2164,0.1278,178.43200000000002,0.182,0.818,1986,667,12,6,0.0746,9.7,0.1,0.5,0.2,0.1
38,LOS ANGELES COUNCIL DISTRICT  2,265068,0.2124,0.6708,0.1168,0.0406,0.46799999999999997,0.4194,0.0696,0.0015,0.001,0.1749,0.384,0.3859,0.1360,0.2008,0.2004,0.2619,0.337,52281,0.6919,0.134,2,0.2078,0.0948,217.322,0.33799999999999997,0.662,1084,389,14,13,0.1037,39.8,0.2,0.4,0.2,0.2
39,LOS ANGELES COUNCIL DISTRICT  3,267182,0.2195,0.6425,0.138,0.043,0.3957,0.4297,0.1289,0.0016,0.001,0.1436,0.3469,0.41,0.1482,0.1888,0.2218,0.2676,0.3218,66266,0.6133,0.145,3,0.2031,0.0802,206.83,0.488,0.512,890,413,14,40,0.091,48.2,0.1,0.4,0.2,0.1
40,LOS ANGELES COUNCIL DISTRICT  4,260788,0.1597,0.7003,0.14,0.0456,0.1613,0.631,0.1602,0.0013,0.0007,0.1024,0.2241,0.3071,0.0927,0.057999999999999996,0.1202,0.2333,0.5886,77274,0.6961,0.095,5,0.1515,0.0649,173.752,0.34,0.66,628,321,19,19,0.1239,72.0,0.2,0.2,0.2,0.2
41,LOS ANGELES COUNCIL DISTRICT  5,264057,0.1667,0.6809,0.1524,0.0369,0.1112,0.6914,0.1584,0.0012,0.0009,0.1298,0.2292,0.2961,0.0749,0.0486,0.1044,0.2169,0.6302,84058,0.7515,0.061,6,0.1022,0.0498,166.882,0.39,0.61,913,253,22,25,0.1303,76.2,0.2,0.1,0.1,0.2
42,LOS ANGELES COUNCIL DISTRICT  6,283654,0.2615,0.6456,0.0929,0.0328,0.7193,0.1511,0.0942,0.0017,0.0008,0.2278,0.5432,0.4727,0.2123,0.3572,0.2435,0.2315,0.1678,45481,0.7308,0.157,2,0.2296,0.1056,205.702,0.375,0.625,1856,473,10,21,0.0624,20.9,0.1,0.5,0.2,0.1
43,LOS ANGELES COUNCIL DISTRICT  7,278658,0.2538,0.6354,0.1108,0.0355,0.7098,0.1921,0.0599,0.002,0.0007,0.1747,0.4355,0.3971,0.1369,0.3172,0.2586,0.2544,0.1697,57352,0.4932,0.125,1,0.2861,0.0981,222.063,0.602,0.39799999999999996,1206,361,8,27,0.0687,30.7,0.1,0.5,0.2,0.1
44,LOS ANGELES COUNCIL DISTRICT  8,252296,0.265,0.632,0.10300000000000001,0.3996,0.5666,0.0177,0.0137,0.0016,0.0007,0.289,0.5469,0.3198,0.1296,0.3587,0.2585,0.2705,0.1123,32922,0.5774,0.13699999999999998,1,0.3187,0.1543,303.839,0.373,0.627,1497,1498,6,32,0.0604,2.0,0.1,0.5,0.3,0.1
45,LOS ANGELES COUNCIL DISTRICT  9,285373,0.2983,0.6397,0.062,0.1512,0.7918,0.0319,0.024,0.0009,0.0002,0.3869,0.7041,0.4335,0.2420,0.5521,0.2351,0.1532,0.0596,28614,0.8409,0.133,2,0.3259,0.1304,232.609,0.267,0.733,3458,1120,9,8,0.08,0.0,0.1,0.5,0.2,0.1
46,LOS ANGELES COUNCIL DISTRICT 10,275480,0.2209,0.6597,0.1194,0.2543,0.4912,0.0877,0.1643,0.0017,0.0008,0.2257,0.4773,0.4216,0.2146,0.2609,0.2195,0.2513,0.2683,40218,0.8028,0.121,4,0.2276,0.1345,227.325,0.239,0.7609999999999999,1112,759,18,13,0.0652,21.6,0.1,0.4,0.2,0.2
47,LOS ANGELES COUNCIL DISTRICT 11,266594,0.1712,0.6761,0.1527,0.0531,0.1905,0.6229,0.1302,0.0015,0.0019,0.094,0.1818,0.244,0.0542,0.0705,0.0928,0.2201,0.6166,93379,0.6777,0.066,10,0.1039,0.0523,153.05,0.429,0.5710000000000001,2529,330,22,41,0.1634,84.6,0.2,0.2,0.2,0.2
48,LOS ANGELES COUNCIL DISTRICT 12,271125,0.1845,0.6481,0.1673,0.0412,0.2835,0.4787,0.1938,0.0016,0.0012,0.0908,0.22899999999999998,0.3189,0.0754,0.0966,0.2028,0.2974,0.4031,80913,0.4766,0.149,2,0.2157,0.0696,201.035,0.685,0.315,906,284,12,36,0.0797,69.2,0.1,0.3,0.2,0.1
49,LOS ANGELES COUNCIL DISTRICT 13,258882,0.1859,0.6971,0.11699999999999999,0.0322,0.5424,0.2376,0.1852,0.0017,0.0008,0.2297,0.4886,0.4957,0.2660,0.2635,0.1863,0.2354,0.3148,39448,0.852,0.145,6,0.1869,0.1134,204.46200000000002,0.14,0.86,3036,718,22,3,0.0943,23.0,0.2,0.4,0.2,0.1
50,LOS ANGELES COUNCIL DISTRICT 14,259741,0.2148,0.6644,0.1208,0.0584,0.6819,0.1286,0.1279,0.0025,0.0007,0.2189,0.4399,0.3779,0.1844,0.3396,0.1964,0.2224,0.2416,45157,0.6432,0.121,9,0.2841,0.1275,206.106,0.326,0.674,5590,1051,25,24,0.0972,23.7,0.1,0.4,0.2,0.2
51,LOS ANGELES COUNCIL DISTRICT 15,269467,0.2741,0.6188,0.1071,0.1272,0.6377,0.1634,0.0648,0.0022,0.0048,0.2472,0.4887,0.3177,0.1367,0.3079,0.2505,0.2733,0.1683,46423,0.517,0.10099999999999999,3,0.2736,0.1266,215.8852,0.39899999999999997,0.601,1773,697,12,66,0.0804,20.2,0.1,0.5,0.2,0.1
52,"LOS ANGELES, CITY OF",4032993,0.2221,0.6574,0.1205,0.0912,0.5004,0.2888,0.1168,0.0017,0.0011,0.2031,0.4241,0.382,0.1575,0.2453,0.1963,0.2387,0.3197,50205,0.6835,0.121,58,0.2193,0.1006,205.09900000000002,0.368,0.632,28464,620,15,21,0.0925,28.6,0.2,0.4,0.2,0.1
53,LYNWOOD,72189,0.2946,0.6337,0.0718,0.0996,0.8695,0.0217,0.0056,0.0011,0.0026,0.2306,0.5889,0.3896,0.1797,0.4723,0.2633,0.2043,0.0601,43109,0.5670000000000001,0.12,0,0.3225,0.1195,225.387,0.435,0.565,118,650,10,71,0.062,13.9,0.1,0.4,0.2,0.1
54,MANHATTAN BEACH,35170,0.2216,0.6243,0.1541,0.0086,0.0746,0.8182,0.096,0.0014,0.0013,0.0304,0.0652,0.1152,**,0.0216,0.0637,0.1792,0.7355,143527,0.6644,0.106,1,0.0857,0.0405,133.239,0.6809999999999999,0.319,4,151,33,92,0.1697,98.6,0.2,0.2,0.3,0.1
55,MAYWOOD,28130,0.298,0.622,0.08,0.0018,0.9734,0.021,0.0024,0.0009,0.0005,0.2805,0.7223,0.4524,0.3100,0.5884,0.2159,0.1484,0.0473,35582,0.9159999999999999,0.092,0,0.2925,0.0929,173.533,0.256,0.7440000000000001,125,434,16,65,0.07200000000000001,13.2,0.1,0.6,0.2,0.1
56,MONROVIA,37467,0.2219,0.6383,0.1398,0.0657,0.3988,0.4106,0.1203,0.0023,0.0023,0.0986,0.2435,0.2526,0.0737,0.11199999999999999,0.1973,0.3252,0.3656,70358,0.6666,0.14400000000000002,1,0.1778,0.1051,215.725,0.48700000000000004,0.513,61,160,22,51,0.0966,67.1,0.2,0.3,0.2,0.1
57,MONTEBELLO,63732,0.2361,0.6114,0.1525,0.0066,0.7986,0.0844,0.1081,0.0016,0.0008,0.1408,0.413,0.3748,0.2185,0.28300000000000003,0.2912,0.2386,0.1872,45875,0.4436,0.182,0,0.2713,0.1048,198.065,0.45399999999999996,0.546,52,336,14,52,0.0506,25.8,0.2,0.6,0.2,0.1
58,MONTEREY PARK,61121,0.1724,0.6155,0.2121,0.0033,0.2743,0.0458,0.6754,0.001,0.0003,0.1414,0.4133,0.536,0.2847,0.2127,0.2443,0.2385,0.3044,54097,0.5435,0.086,1,0.1058,0.1222,145.13,0.52,0.48,7,214,14,4,0.0442,32.1,0.1,0.2,0.3,0.0
59,NORWALK,104869,0.2438,0.6379,0.1184,0.043,0.6990000000000001,0.1224,0.1291,0.0026,0.0038,0.1261,0.4175,0.345,0.1505,0.2651,0.2713,0.3096,0.1539,59756,0.7391,0.113,1,0.3187,0.1256,227.83,0.631,0.369,256,400,10,50,0.0603,39.1,0.1,0.4,0.3,0.1
60,PALMDALE,159690,0.2807,0.6328,0.0864,0.1545,0.5498,0.2498,0.0413,0.0031,0.0014,0.2018,0.4764,0.2624,0.1000,0.2583,0.2592,0.3341,0.1483,52392,0.2773,0.318,0,0.3054,0.1217,236.912,0.632,0.368,212,436,9,95,0.0964,24.4,0.1,0.4,0.3,0.1
61,PARAMOUNT,56225,0.2872,0.632,0.0807,0.1208,0.7865,0.0541,0.0295,0.0015,0.0076,0.2237,0.5509,0.3771,0.1615,0.4206,0.2585,0.2388,0.0822,45792,0.5658,0.109,1,0.2782,0.1288,219.08599999999998,0.39,0.61,50,557,12,76,0.073,18.1,0.1,0.5,0.2,0.1
62,PASADENA,140883,0.2012,0.6477,0.1511,0.1034,0.3442,0.3919,0.1581,0.0015,0.0008,0.1306,0.2262,0.3037,0.0886,0.1257,0.1385,0.2354,0.5004,72402,0.5965,0.10300000000000001,3,0.2233,0.0823,213.696,0.436,0.564,530,339,24,43,0.1247,66.4,0.2,0.3,0.3,0.1
63,PICO RIVERA,64052,0.2396,0.6227,0.1377,0.0064,0.9143,0.0516,0.0256,0.0018,0.0003,0.1241,0.3804,0.3312,0.1333,0.3184,0.3011,0.2689,0.1116,55752,0.5306,0.111,1,0.2969,0.1196,202.833,0.6659999999999999,0.33399999999999996,105,343,16,49,0.0694,34.9,0.1,0.5,0.3,0.1
64,POMONA,155212,0.2668,0.6395,0.0937,0.0692,0.7123,0.1248,0.0898,0.0022,0.0017,0.2012,0.5234,0.3415,0.1381,0.325,0.2478,0.2515,0.1757,49186,0.5042,0.149,2,0.3119,0.1073,237.925,0.524,0.47600000000000003,689,494,12,0,0.0699,18.8,0.1,0.4,0.2,0.1
