Level Of Importance (%),Features
0.30475437811681905,ACTIVITY_DATE_MONTH
0.29387359666253354,LAT
0.2928844155253129,LNG
0.04117989743154319,FACILITY_ZIP
0.03821694621819432,new_seats
0.021442875581409122,points
0.00045099464085623323,Prop_Asi
0.0004036601737363469,Prop_depr
0.0003514235071046202,Prop_NHO
0.0003414179383465839,Propt_envi
0.0002910162406402974,Prop_65y+
0.0002688590469427146,Prop_FPL2
0.00023997269938044028,Prop_groc
0.00023534827192900576,Prop_64y
0.00023346845113562083,Prop_edLH
0.0002329294744412008,Prop_FPL1
0.00021853901934666684,Prop_Whi
0.0002137189264017642,Propt_HPI
0.00021091773156907073,Prop_60mi
0.00020916453257007985,Rte_alco
0.00020443108195763356,Prop_forb
0.0002009544424169326,Rte_crim
0.00019801149423498708,Prop_edCG
0.0001939491012283294,Prop_ownr
0.0001935185128791565,Prop_Blk
0.0001908345921701198,Prop_obse
0.0001900330187239999,No_hless
0.00018819256782931623,Rte_CVD
0.00018783343758277412,Prop_rentr
0.00018659574209697123,Pop_Tot
0.00018591532924978207,Prop_DM
0.00018287113580251767,MHI
0.00018145105483004026,Prop_Eng
0.00018047072884735653,Prop_18y
0.00017983868488301663,Prop_Ami
0.0001778307567488841,Prop_edHG
0.00017150490192336935,Prop_Lat
0.00017124883369664824,Prop_edSC
0.000102565308428494,Prop_hyp
8.305245025118417e-05,No_farm
8.033089484410502e-05,Prop_bev
6.101763750891548e-05,Prop_fru
5.4008101652751567e-05,Prop_marj
